"Customer cohort quarter","Quarters since first purchase","Customers","Orders","Net sales"
"2015-10-01",34,5,5,328.98
"2015-10-01",35,4,5,223.04
"2015-10-01",36,3,3,101.54
"2015-10-01",37,4,5,308.73
"2015-10-01",38,2,2,98.97
"2015-10-01",39,4,4,262.29
"2015-10-01",40,2,2,134.43
"2015-10-01",41,3,3,90.45
"2015-10-01",42,2,2,119.53
"2016-01-01",32,7,7,448.65
"2016-01-01",33,3,5,252.4
"2016-01-01",34,3,3,162.32
"2016-01-01",35,6,7,421.31
"2016-01-01",36,4,4,245.07
"2016-01-01",37,5,5,457.38
"2016-01-01",38,1,1,36.98
"2016-01-01",39,5,5,441.99
"2016-01-01",40,2,4,163.39
"2016-01-01",41,3,3,120.45
"2016-01-01",42,1,1,24.49
"2016-04-01",31,2,2,67.36
"2016-04-01",33,1,1,19.99
"2016-04-01",34,1,1,45.57
"2016-04-01",35,1,1,74.97
"2016-04-01",36,1,2,142.73
"2016-04-01",37,1,1,12.99
"2016-04-01",39,1,3,107.95
"2016-04-01",40,1,1,24.98
"2016-07-01",30,4,5,286.68
"2016-07-01",31,5,5,264.47
"2016-07-01",32,1,1,88.96
"2016-07-01",33,4,5,366.96
"2016-07-01",34,3,4,301.61
"2016-07-01",35,3,3,238.76
"2016-07-01",36,3,3,190.17
"2016-07-01",37,4,4,301.77
"2016-07-01",38,2,2,103.93
"2016-07-01",39,3,3,163.71
"2016-10-01",29,3,3,238.81
"2016-10-01",30,6,6,642.49
"2016-10-01",31,3,3,274.58
"2016-10-01",32,4,4,463.11
"2016-10-01",33,6,6,683.39
"2016-10-01",34,3,3,481.35
"2016-10-01",35,1,1,87.97
"2016-10-01",36,2,3,1008.92
"2016-10-01",37,3,3,270.18
"2016-10-01",38,2,2,86.93
"2017-01-01",28,5,9,597.44
"2017-01-01",29,7,8,669.82
"2017-01-01",30,4,7,791.56
"2017-01-01",31,6,8,560.61
"2017-01-01",32,6,7,542.05
"2017-01-01",33,4,7,1075.57
"2017-01-01",34,4,5,419.7
"2017-01-01",35,5,5,456.51
"2017-01-01",36,4,5,302.77
"2017-01-01",37,5,6,840.21
"2017-04-01",27,6,7,483.97
"2017-04-01",28,6,7,688.16
"2017-04-01",29,6,6,373.56
"2017-04-01",30,4,5,430.94
"2017-04-01",31,1,1,43.98
"2017-04-01",32,6,6,535.89
"2017-04-01",33,4,4,251.74
"2017-04-01",34,4,4,347.83
"2017-04-01",35,2,3,133.11
"2017-04-01",36,1,1,132.73
"2017-07-01",26,4,6,280.45
"2017-07-01",27,7,7,380.05
"2017-07-01",28,1,1,14.99
"2017-07-01",29,5,6,317.82
"2017-07-01",30,5,5,436.55
"2017-07-01",31,3,3,203.5
"2017-07-01",32,4,5,416.2
"2017-07-01",33,3,3,278.48
"2017-07-01",34,2,2,126.35
"2017-10-01",25,6,8,355.49
"2017-10-01",26,5,8,211.56
"2017-10-01",27,8,9,487.6
"2017-10-01",28,6,6,613.95
"2017-10-01",29,4,6,267.82
"2017-10-01",30,6,7,418.79
"2017-10-01",31,6,6,538.34
"2017-10-01",32,2,2,75.16
"2017-10-01",33,3,4,259.57
"2017-10-01",34,5,6,221.22
"2018-01-01",24,9,10,766.77
"2018-01-01",25,11,12,1116.61
"2018-01-01",26,10,10,1042.35
"2018-01-01",27,11,14,858.6
"2018-01-01",28,10,16,1289.45
"2018-01-01",29,7,7,704.96
"2018-01-01",30,11,11,867.67
"2018-01-01",31,9,9,759.33
"2018-01-01",32,7,9,700.49
"2018-01-01",33,7,8,667.42
"2018-04-01",23,16,18,1430.66
"2018-04-01",24,8,9,870.56
"2018-04-01",25,11,11,925.67
"2018-04-01",26,11,16,1474.69
"2018-04-01",27,10,10,698.94
"2018-04-01",28,10,12,1052.08
"2018-04-01",29,7,7,574.83
"2018-04-01",30,10,13,1242.38
"2018-04-01",31,5,5,324.23
"2018-04-01",32,13,17,1110.56
"2018-07-01",22,5,5,293.84
"2018-07-01",23,7,9,546.02
"2018-07-01",24,6,6,455.44
"2018-07-01",25,10,10,579.77
"2018-07-01",26,5,5,385.59
"2018-07-01",27,5,5,239.96
"2018-07-01",28,3,3,289.91
"2018-07-01",29,7,8,499.92
"2018-07-01",30,5,6,345.43
"2018-07-01",31,5,6,270.46
"2018-10-01",21,27,37,1963.84
"2018-10-01",22,30,42,2539.57
"2018-10-01",23,24,28,1400.08
"2018-10-01",24,73,83,5078.64
"2018-10-01",25,20,24,1309.66
"2018-10-01",26,18,22,1993.72
"2018-10-01",27,15,18,1209.14
"2018-10-01",28,45,53,3222.08
"2018-10-01",29,28,34,1950.83
"2018-10-01",30,21,24,1587.71
"2019-01-01",20,45,55,2391.94
"2019-01-01",21,38,42,2238.96
"2019-01-01",22,29,31,1529.17
"2019-01-01",23,78,86,4996.04
"2019-01-01",24,39,42,2358.72
"2019-01-01",25,28,40,2037.38
"2019-01-01",26,26,31,1615.65
"2019-01-01",27,71,82,5072.1
"2019-01-01",28,43,48,2615.09
"2019-01-01",29,38,49,2404.5
"2019-01-01",30,2,2,69.98
"2019-04-01",19,16,23,839.33
"2019-04-01",20,17,20,1022.3
"2019-04-01",21,16,18,950.24
"2019-04-01",22,23,29,1696.37
"2019-04-01",23,11,16,954.22
"2019-04-01",24,9,14,656.83
"2019-04-01",25,15,15,1065.71
"2019-04-01",26,21,24,1251.39
"2019-04-01",27,13,16,963.85
"2019-04-01",28,9,11,665.48
"2019-07-01",18,10,11,715.75
"2019-07-01",19,12,13,553.75
"2019-07-01",20,13,14,830.49
"2019-07-01",21,20,25,1497.55
"2019-07-01",22,12,14,1273.37
"2019-07-01",23,6,8,440.18
"2019-07-01",24,11,14,1157.69
"2019-07-01",25,11,12,759.77
"2019-07-01",26,10,10,491.54
"2019-07-01",27,12,16,1241.69
"2019-10-01",17,22,26,1066.97
"2019-10-01",18,24,26,1577.86
"2019-10-01",19,19,23,1420.51
"2019-10-01",20,38,39,2551.76
"2019-10-01",21,17,19,1240.89
"2019-10-01",22,22,25,1752.99
"2019-10-01",23,21,23,1592.03
"2019-10-01",24,27,33,2240.75
"2019-10-01",25,21,23,1784.22
"2019-10-01",26,14,19,1352.78
"2020-01-01",15,0,0,-144.99
"2020-01-01",16,33,43,1929.64
"2020-01-01",17,29,32,1703.52
"2020-01-01",18,32,36,2156.79
"2020-01-01",19,40,52,3110.19
"2020-01-01",20,34,37,1900.24
"2020-01-01",21,30,35,1865.97
"2020-01-01",22,27,30,2367.6
"2020-01-01",23,39,44,2401.91
"2020-01-01",24,27,30,1488.26
"2020-01-01",25,24,29,1439.79
"2020-01-01",26,3,3,197.39
"2020-04-01",15,83,119,5650.22
"2020-04-01",16,78,98,4902.3
"2020-04-01",17,53,60,3417.47
"2020-04-01",18,128,143,8243.19
"2020-04-01",19,68,79,4648.31
"2020-04-01",20,60,68,3852.68
"2020-04-01",21,44,51,3523.93
"2020-04-01",22,61,71,4430.17
"2020-04-01",23,64,71,3800.06
"2020-04-01",24,55,68,3609.93
"2020-04-01",25,2,2,159.8
"2020-07-01",14,59,70,3059.07
"2020-07-01",15,48,58,3236.69
"2020-07-01",16,44,49,2020.27
"2020-07-01",17,75,87,4732.23
"2020-07-01",18,45,54,2687.27
"2020-07-01",19,46,59,3150.23
"2020-07-01",20,40,54,2749.41
"2020-07-01",21,62,74,4059.72
"2020-07-01",22,44,55,2599.89
"2020-07-01",23,36,46,2675.04
"2020-07-01",24,6,6,328.21
"2020-10-01",13,150,194,7894.91
"2020-10-01",14,113,127,5874.52
"2020-10-01",15,97,110,5518.32
"2020-10-01",16,246,282,16815.06
"2020-10-01",17,89,104,5664.01
"2020-10-01",18,83,90,4577.75
"2020-10-01",19,77,85,5333.79
"2020-10-01",20,134,157,9711.01
"2020-10-01",21,88,98,4988.8
"2020-10-01",22,86,92,4315.66
"2020-10-01",23,5,6,319.37
"2021-01-01",12,150,192,7799.51
"2021-01-01",13,118,144,6028.64
"2021-01-01",14,116,140,6418.47
"2021-01-01",15,182,213,12636.48
"2021-01-01",16,97,110,5914.3
"2021-01-01",17,77,93,5479.99
"2021-01-01",18,81,93,5283.02
"2021-01-01",19,118,145,9477.01
"2021-01-01",20,90,102,5151.32
"2021-01-01",21,79,101,5026.43
"2021-01-01",22,8,10,486.35
"2021-04-01",11,95,116,5009.37
"2021-04-01",12,77,90,3854.77
"2021-04-01",13,50,52,2619.62
"2021-04-01",14,114,126,7595.1
"2021-04-01",15,59,66,3835.69
"2021-04-01",16,44,50,3239.79
"2021-04-01",17,35,39,2209.48
"2021-04-01",18,78,89,5244.91
"2021-04-01",19,46,53,3214.3
"2021-04-01",20,42,50,2385.87
"2021-04-01",21,3,3,279.33
"2021-07-01",10,69,93,4081.54
"2021-07-01",11,61,74,4423.66
"2021-07-01",12,51,60,3358.51
"2021-07-01",13,105,125,6952.8
"2021-07-01",14,53,63,4041.21
"2021-07-01",15,35,37,2445.16
"2021-07-01",16,41,45,2712.32
"2021-07-01",17,56,63,4081.46
"2021-07-01",18,47,53,2821.32
"2021-07-01",19,40,47,2412.3
"2021-07-01",20,2,2,135.75
"2021-10-01",9,154,182,8987.44
"2021-10-01",10,137,156,7818.79
"2021-10-01",11,126,136,6950.68
"2021-10-01",12,331,367,20734.21
"2021-10-01",13,126,144,7278.24
"2021-10-01",14,115,128,6316.37
"2021-10-01",15,92,103,7140.88
"2021-10-01",16,189,227,13904.54
"2021-10-01",17,100,114,6185.63
"2021-10-01",18,96,120,5916.96
"2021-10-01",19,4,4,222.4
"2022-01-01",8,191,226,10309.97
"2022-01-01",9,115,125,7120
"2022-01-01",10,112,121,6751.07
"2022-01-01",11,215,251,14411.26
"2022-01-01",12,114,128,7217.52
"2022-01-01",13,94,110,6604.71
"2022-01-01",14,84,95,5592.34
"2022-01-01",15,131,143,9308.36
"2022-01-01",16,97,114,6172.92
"2022-01-01",17,76,86,4808.58
"2022-01-01",18,4,4,189.06
"2022-04-01",7,99,121,6478.39
"2022-04-01",8,80,92,4837.47
"2022-04-01",9,50,58,3394.69
"2022-04-01",10,78,89,5378.44
"2022-04-01",11,64,76,4065.12
"2022-04-01",12,53,63,4270
"2022-04-01",13,36,40,2047.96
"2022-04-01",14,67,79,5289.91
"2022-04-01",15,45,52,2613.9
"2022-04-01",16,40,51,2823.88
"2022-04-01",17,2,2,60.98
"2022-07-01",6,88,110,4939.53
"2022-07-01",7,69,80,3936.68
"2022-07-01",8,77,90,4520.13
"2022-07-01",9,82,104,5589.29
"2022-07-01",10,63,78,4289.53
"2022-07-01",11,52,61,3472.99
"2022-07-01",12,48,52,3341.28
"2022-07-01",13,71,80,4968.8
"2022-07-01",14,41,44,2596.24
"2022-07-01",15,34,41,2536.44
"2022-07-01",16,4,4,175.67
"2022-10-01",5,169,215,9351.14
"2022-10-01",6,127,150,7603.47
"2022-10-01",7,106,114,6149.77
"2022-10-01",8,257,288,18555.19
"2022-10-01",9,116,129,7225.25
"2022-10-01",10,75,85,4466.23
"2022-10-01",11,88,97,6230.99
"2022-10-01",12,211,238,16206.59
"2022-10-01",13,91,107,5289.24
"2022-10-01",14,89,109,5914.19
"2022-10-01",15,7,7,379.82
"2023-01-01",3,0,0,-9.99
"2023-01-01",4,157,202,9331.9
"2023-01-01",5,127,150,8140.35
"2023-01-01",6,88,109,5833.51
"2023-01-01",7,115,134,8090.79
"2023-01-01",8,74,87,4803.92
"2023-01-01",9,63,73,4485.27
"2023-01-01",10,50,59,3525.37
"2023-01-01",11,90,106,6512.02
"2023-01-01",12,68,78,3897.78
"2023-01-01",13,48,55,3817.01
"2023-01-01",14,2,2,61.98
"2023-04-01",3,78,98,5059.25
"2023-04-01",4,73,91,5214.89
"2023-04-01",5,54,61,3648.28
"2023-04-01",6,73,83,4835.51
"2023-04-01",7,49,57,3448.06
"2023-04-01",8,26,30,1841.95
"2023-04-01",9,26,37,2099.69
"2023-04-01",10,42,46,2752.4
"2023-04-01",11,39,46,2504.27
"2023-04-01",12,30,38,2295.62
"2023-04-01",13,1,1,87.96
"2023-07-01",2,92,114,4783.11
"2023-07-01",3,75,86,3775.27
"2023-07-01",4,61,71,3306.84
"2023-07-01",5,67,79,3883.58
"2023-07-01",6,41,45,2538.97
"2023-07-01",7,42,52,2823.12
"2023-07-01",8,39,46,2938.34
"2023-07-01",9,56,69,4368.28
"2023-07-01",10,36,45,2402.24
"2023-07-01",11,28,33,1511.52
"2023-07-01",12,3,3,101.94
"2023-10-01",-1,0,0,-470.38
"2023-10-01",1,237,294,13186.8
"2023-10-01",2,147,164,7703.21
"2023-10-01",3,98,110,6208.62
"2023-10-01",4,246,282,17484.59
"2023-10-01",5,95,108,5814.1
"2023-10-01",6,70,74,4043.46
"2023-10-01",7,56,61,3443.79
"2023-10-01",8,147,168,11396.18
"2023-10-01",9,65,74,3477.88
"2023-10-01",10,57,67,2790.87
"2023-10-01",11,2,2,109.45
"2024-01-01",-1,1998,1998,78819.4
"2024-01-01",0,149,176,7255.58
"2024-01-01",1,147,174,7688.65
"2024-01-01",2,105,117,5971.91
"2024-01-01",3,119,132,7034.43
"2024-01-01",4,94,110,5240.94
"2024-01-01",5,55,73,3852.11
"2024-01-01",6,45,53,2805.95
"2024-01-01",7,64,75,4215.25
"2024-01-01",8,50,61,2886.37
"2024-01-01",9,35,49,2527.03
"2024-01-01",10,4,4,191.93
"2024-04-01",-1,926,926,41138.95
"2024-04-01",0,47,55,2726.67
"2024-04-01",1,74,94,5083.5
"2024-04-01",2,80,93,5096.45
"2024-04-01",3,43,52,2892.89
"2024-04-01",4,53,61,3334.45
"2024-04-01",5,34,42,2669.91
"2024-04-01",6,48,63,3318.41
"2024-04-01",7,39,47,2599.25
"2024-04-01",8,38,42,2163.23
"2024-07-01",-1,772,772,35126.19
"2024-07-01",0,37,41,1724.74
"2024-07-01",1,73,84,4526.51
"2024-07-01",2,60,64,3693.98
"2024-07-01",3,49,56,3124.26
"2024-07-01",4,40,46,2693.6
"2024-07-01",5,48,52,3152.07
"2024-07-01",6,29,32,1669.04
"2024-07-01",7,26,27,1183.55
"2024-10-01",-1,3298,3298,178788.38
"2024-10-01",0,200,245,13957.02
"2024-10-01",1,104,127,6726.8
"2024-10-01",2,93,114,6459.23
"2024-10-01",3,102,118,6520.86
"2024-10-01",4,188,213,14466.24
"2024-10-01",5,71,83,5149.48
"2024-10-01",6,76,83,4442.74
"2024-10-01",7,2,2,133.94
"2025-01-01",-1,1411,1411,65543.79
"2025-01-01",0,84,247,8488.56
"2025-01-01",1,125,212,9837.88
"2025-01-01",2,116,138,7301.65
"2025-01-01",3,124,160,9331.9
"2025-01-01",4,90,107,5663.86
"2025-01-01",5,64,83,4021.84
"2025-01-01",6,7,7,315.62
"2025-04-01",-1,1124,1124,58984.78
"2025-04-01",0,87,107,5184.49
"2025-04-01",1,135,173,9662.43
"2025-04-01",2,127,162,10360.77
"2025-04-01",3,86,106,6144.37
"2025-04-01",4,66,86,5376.65
"2025-04-01",5,4,4,336.35
"2025-07-01",-1,1469,1469,85462.22
"2025-07-01",0,101,118,6917.21
"2025-07-01",1,182,242,14106.79
"2025-07-01",2,97,149,7669.94
"2025-07-01",3,94,143,7098.61
"2025-07-01",4,7,7,428.11
"2025-10-01",-1,3301,3301,171427.6
"2025-10-01",0,194,265,13710.56
"2025-10-01",1,172,217,11566.76
"2025-10-01",2,144,192,9502.65
"2025-10-01",3,8,8,454.05
"2026-01-01",-1,1934,1934,79687.09
"2026-01-01",0,149,172,7241.17
"2026-01-01",1,360,559,21804.18
"2026-01-01",2,18,18,814.51
"2026-04-01",-1,3014,3014,113237.55
"2026-04-01",0,761,977,33255.12
"2026-04-01",1,178,180,5749.7
"2026-07-01",-1,143,143,5717.03
