"Product title","Net sales","Gross sales","Orders","Quantity ordered"
"Earl Grey Green Tea, 3.53oz/100g",66.56,68.36,4,4
"Lemon Ginger Green Tea, 100 Count",62.957,62.957,2,3
"Turmeric Ashwagandha Herbal Tea Tisane, 3.53 oz/100g",61.73,65.92,7,8
"Ashwagandha Coffee - Pack Of 3",59.99,59.99,1,1
"Chamomile Mint Citrus Green Tea, 3.53 oz",54.34,55.93,7,7
"Applause CTC Assam Black Tea, 9oz/255g",53.986,53.986,3,3
"2025 Arya Diamond Darjeeling First Flush Black Tea Ex 31",52.866,58.863,2,2
"Cardamom Masala Chai Tea, 3.53 oz/ 100g",50.702,51.992,4,4
"Rover Bottle-  500 ml/ 15.9 oz",50,75,1420,1420
"Sweet Cinnamon Masala Chai Tea, 100 Count",48.42,67.96,4,4
"Ginger Masala Chai Tea, 3.53 oz/ 100g",47.94,47.94,5,6
"2025 Okayti Classic Darjeeling Second Flush Black Tea DJ 73",46.268,47.096,3,3
"Ashwagandha Coffee, 80 Servings (2 Packs + 6 FREE Gifts worth £40)",45.6,47.99,1,1
"Weekend in London, Tea Gift, Set of 9",44.494,44.494,2,2
"2025 Okayti Premium Darjeeling First Flush Black Tea OKT 07",37.885,42.091,2,2
"Turmeric Moringa Herbal Tea Tisane, 100 Count",33.942,38.993,2,2
"Chai Teas Private Reserve Christmas Tea Gift Set of 3",30.005,30.005,1,1
"Assorted Green Teas Sampler, 5 Variants",29.97,59.95,4,5
"2026 Castleton Premium Darjeeling First Flush Black Tea DJ FF BT-100g",26.99,26.99,1,1
"Verve Insulated Bottle",25,25,2597,2597
"2026 Margaret's Hope Premium Darjeeling First Flush Black Tea-100g",24.99,24.99,1,1
"2025 Giddapahar Classic Darjeeling Second Flush Black Tea DJ 74/2025",24.99,24.99,1,1
"2025 Halmari Clonal Assam Second Flush Black Tea 533",23.003,23.003,1,1
"Assorted Tea Bags Sampler | 25 Variants, 50 Count",19.99,19.99,1,1
"Ashwagandha Coffee - 20 Servings",19.99,19.99,1,1
"Turmeric Ginger Herbal Tea Tisane, 30 Count (15x2)",17.99,19.98,2,2
"High Mountain Oolong Tea, 30 Count (15X2)",17.08,17.98,2,2
"White Teas Holiday Gift Sampler, 5 Teas",16.19,71.96,4,4
"Drift Holiday Gift Mug for Son",14.99,14.99,1,1
"Assam Spice Masala Chai Tea, 7.06/200g",14.99,44.97,2,3
"Blue Mountain Nilgiri White Tea, 1.76oz/50g",14.99,29.98,2,2
"2025 Barnesbeg Premium Darjeeling First Flush Black Tea DJ 04",13.597,16.988,1,1
"India's Original Masala Chai Tea, 3.53 oz",11.99,11.99,1,1
"Darjeeling Pearl White Tea, 1.76oz/50g",11.99,11.99,1,1
"Classic Tea Infuser",11.049,11.049,1,1
"Blush Holiday Tea Gift, Set of 3",10.8,11.99,0,0
"Sweet Cinnamon Masala Chai Tea, 30 Count",9.99,9.99,1,1
"Lopchu Golden Orange Pekoe Darjeeling Second Flush Black Tea, 3.53Oz/100g",6.29,8.99,0,0
"Ashwagandha Coffee (For Test)",0,49.98,1,1
"Darjeeling Spring Gold First Flush Black Tea, 1.76oz/50g",0,74.95,1,5
"Margarets Hope Premium Darjeeling First Flush Black Tea (DJ 15/2023)",0,49.98,1,2
"Drift Holiday Gift Mug for Mom",0,39.98,2,2
"Turmeric Classic Latte, Golden Milk Powder, 3.53oz/100g",0,29.98,2,2
"Best Seller Bundle, Set of 4",0,94.99,1,1
"Drift Holiday Gift Mug for Grandpa",0,14.99,1,1
"Weekend in Singapore, Holiday Tea Gift, Set of 8",0,34.99,1,1
"Western Himalayan Kangra Spring Black Tea, 340 gm",0,44.97,3,3
"Himalayan Green Tea, Tin Gift Set, 1.76oz/50g",0,39.96,4,4
"Butterfly Pea Flower Tea Herbal Tea Tisane, 1.76 oz",0,17.76,2,2
"Drift Gift Mug for Daughter",0,15.99,1,1
"Pure Matcha Green Tea Powder, Culinary Grade, 50g",0,13.98,2,2
"Assorted Tea Bags Gift, 15 Variants",0,8.99,0,0
"Weekend in New York Tea Gift, Set of 9",0,39.98,2,2
"Turmeric Tea Bundle, Set of 3",0,68.99,1,1
"Himalayan Breakfast Black Tea, 7.06oz/200g",0,109.95,3,5
"Turmeric Wellness Detox Kit | 4 Variants, 60 Tea Bags",0,74.97,3,3
"Chai Tea Bundle, Set of 4",0,66.99,1,1
"Saffron Premium Masala Chai Tea, 3.53 oz",0,29.98,2,2
"Green Tea Private Reserve Christmas Tea Gift, Set of 6",0,49.99,1,1
"Caper Tumbler Insulated (Black)",0,53.97,2,3
"Perfect Serve Tea Spoon",0,7.99,1,1
"Giddapahar Classic Darjeeling First Flush Black Tea (DJ 11/2023)",0,104.95,1,5
"Square Tea Infuser",0,24.95,4,5
"Sweet Himalayan Green Tea, 200 gm",0,107.94,6,6
"Cosmos Tea Cup",0,0,603,603
"Shimmer - Borosilicate Glass Double Walled Teacups (Pack of 2)",0,17.99,1,1
"Drift Gift Mug for Sister",0,9.99,1,1
"Margarets Hope Moonlight Darjeeling First Flush Black Tea (DJ 13 /2023)",0,28.99,1,1
